,unixtimestamp,close_time,datetime,close_datetime,open,close,low,high,volume
0,1738057500000,1738058399999,2025-01-28 09:45:00,2025-01-28 09:59:59.999,102628.78,102955.99,102539.24,102962.66,184.82725
1,1738058400000,1738059299999,2025-01-28 10:00:00,2025-01-28 10:14:59.999,102955.99,102972.93,102821.71,102989.0,94.44232
2,1738059300000,1738060199999,2025-01-28 10:15:00,2025-01-28 10:29:59.999,102972.94,102953.89,102953.89,103181.82,167.91308
3,1738060200000,1738061099999,2025-01-28 10:30:00,2025-01-28 10:44:59.999,102953.9,102714.65,102705.83,103000.0,117.4671
4,1738061100000,1738061999999,2025-01-28 10:45:00,2025-01-28 10:59:59.999,102714.64,102745.36,102600.79,102760.51,101.16574
5,1738062000000,1738062899999,2025-01-28 11:00:00,2025-01-28 11:14:59.999,102745.37,102874.21,102700.5,102934.7,106.22949
6,1738062900000,1738063799999,2025-01-28 11:15:00,2025-01-28 11:29:59.999,102874.21,102693.47,102641.87,102943.07,109.20491
7,1738063800000,1738064699999,2025-01-28 11:30:00,2025-01-28 11:44:59.999,102693.48,102701.53,102564.77,102739.42,107.62185
8,1738064700000,1738065599999,2025-01-28 11:45:00,2025-01-28 11:59:59.999,102701.53,102762.01,102701.53,102870.0,151.10925
9,1738065600000,1738066499999,2025-01-28 12:00:00,2025-01-28 12:14:59.999,102762.02,102872.82,102712.61,102988.6,142.79551
10,1738066500000,1738067399999,2025-01-28 12:15:00,2025-01-28 12:29:59.999,102872.82,102683.79,102620.0,102901.11,117.85937
11,1738067400000,1738068299999,2025-01-28 12:30:00,2025-01-28 12:44:59.999,102683.8,102655.49,102476.63,102727.89,150.42529
12,1738068300000,1738069199999,2025-01-28 12:45:00,2025-01-28 12:59:59.999,102655.5,102599.99,102489.06,102702.66,121.22808
13,1738069200000,1738070099999,2025-01-28 13:00:00,2025-01-28 13:14:59.999,102599.99,102886.19,102564.0,102886.2,92.74123
14,1738070100000,1738070999999,2025-01-28 13:15:00,2025-01-28 13:29:59.999,102886.19,102820.0,102773.2,102938.71,85.70862
15,1738071000000,1738071899999,2025-01-28 13:30:00,2025-01-28 13:44:59.999,102820.0,102571.65,102482.35,102820.0,135.83389
16,1738071900000,1738072799999,2025-01-28 13:45:00,2025-01-28 13:59:59.999,102571.65,102597.36,102501.6,102713.98,101.53193
17,1738072800000,1738073699999,2025-01-28 14:00:00,2025-01-28 14:14:59.999,102597.37,101962.98,101815.26,102597.37,440.03927
18,1738073700000,1738074599999,2025-01-28 14:15:00,2025-01-28 14:29:59.999,101962.97,102580.26,101937.22,102619.99,286.4988
19,1738074600000,1738075499999,2025-01-28 14:30:00,2025-01-28 14:44:59.999,102580.26,102159.99,102058.99,102891.33,754.24669
20,1738075500000,1738076399999,2025-01-28 14:45:00,2025-01-28 14:59:59.999,102159.99,102641.99,102076.93,102805.93,462.04593
21,1738076400000,1738077299999,2025-01-28 15:00:00,2025-01-28 15:14:59.999,102642.0,102937.33,102625.01,103315.79,676.65518
22,1738077300000,1738078199999,2025-01-28 15:15:00,2025-01-28 15:29:59.999,102937.33,103210.22,102738.46,103280.0,298.86774
23,1738078200000,1738079099999,2025-01-28 15:30:00,2025-01-28 15:44:59.999,103210.22,102964.93,102904.62,103800.0,920.23009
24,1738079100000,1738079999999,2025-01-28 15:45:00,2025-01-28 15:59:59.999,102964.93,102777.99,102504.0,103116.07,319.74338
25,1738080000000,1738080899999,2025-01-28 16:00:00,2025-01-28 16:14:59.999,102777.99,102267.4,102253.52,102907.98,462.40414
26,1738080900000,1738081799999,2025-01-28 16:15:00,2025-01-28 16:29:59.999,102267.41,102041.99,101906.24,102440.28,534.80691
27,1738081800000,1738082699999,2025-01-28 16:30:00,2025-01-28 16:44:59.999,102042.0,102382.0,102025.0,102411.96,281.124
28,1738082700000,1738083599999,2025-01-28 16:45:00,2025-01-28 16:59:59.999,102382.01,102250.01,101972.84,102576.93,267.79974
29,1738083600000,1738084499999,2025-01-28 17:00:00,2025-01-28 17:14:59.999,102250.01,103035.9,102220.07,103084.0,521.1732
30,1738084500000,1738085399999,2025-01-28 17:15:00,2025-01-28 17:29:59.999,103035.9,102848.86,102733.33,103098.0,311.18234
31,1738085400000,1738086299999,2025-01-28 17:30:00,2025-01-28 17:44:59.999,102848.87,102446.01,102338.0,102928.0,355.9059
32,1738086300000,1738087199999,2025-01-28 17:45:00,2025-01-28 17:59:59.999,102446.0,102572.82,102346.01,102748.0,214.03859
33,1738087200000,1738088099999,2025-01-28 18:00:00,2025-01-28 18:14:59.999,102572.82,103030.41,102375.0,103085.73,432.62271
34,1738088100000,1738088999999,2025-01-28 18:15:00,2025-01-28 18:29:59.999,103030.41,102854.56,102785.56,103108.0,245.22751
35,1738089000000,1738089899999,2025-01-28 18:30:00,2025-01-28 18:44:59.999,102854.57,102536.32,102472.49,102955.89,165.47521
36,1738089900000,1738090799999,2025-01-28 18:45:00,2025-01-28 18:59:59.999,102536.0,102205.79,102160.0,102542.4,195.60227
37,1738090800000,1738091699999,2025-01-28 19:00:00,2025-01-28 19:14:59.999,102205.78,102071.99,101820.15,102235.0,266.10232
38,1738091700000,1738092599999,2025-01-28 19:15:00,2025-01-28 19:29:59.999,102071.98,102237.13,101980.99,102400.0,199.06743
